Date,polarity
2017-03-02,-0.025
2017-05-05,-0.02
2017-05-15,0.029001176572438156
2017-05-16,0.05243157591029929
2017-05-17,0.0540257386656492
2017-05-18,0.06614609048106565
2017-05-19,0.02607912879601347
2017-05-20,0.024093005952380953
2017-05-21,0.042367731700118066
2017-05-22,0.04592726882402227
2017-05-23,0.04801994466237115
2017-05-24,0.045670706693420306
2017-05-25,0.060882066128313914
2017-05-26,0.03732647793006614
2017-05-27,0.06354166666666666
2017-05-28,0.060597966847966846
2017-05-29,0.069736848962998
2017-05-30,0.026003720228741842
2017-05-31,0.053020095175460163
2017-06-01,0.05080989326350233
2017-06-02,0.04041323343066979
2017-06-03,0.0934177836978838
2017-06-04,0.03971339387625864
2017-06-05,0.06000514083913868
2017-06-06,0.051435567517355125
2017-06-07,0.0551279565057973
2017-06-08,0.0629255388489953
2017-06-09,0.05332485522452823
2017-06-10,0.11841856419442623
2017-06-11,0.19229239675668247
2017-06-12,0.05171662276554865
2017-06-13,0.04542792211711927
2017-06-14,0.04838823761892705
2017-06-15,0.05565667784986385
2017-06-16,0.04858084297651421
2017-06-17,0.037126698537016986
2017-06-18,0.13558758674401042
2017-06-19,0.04158222134968907
2017-06-20,0.03574730904075272
2017-06-21,0.04939540652008694
2017-06-22,0.0436838935577889
2017-06-23,0.043227822030674865
2017-06-24,0.034989475444468676
2017-06-25,0.20441430539157812
2017-06-26,0.056497512550509985
2017-06-27,0.05118085837946877
2017-06-28,0.04565321487509089
2017-06-29,0.05963778996419621
2017-06-30,0.053403069032029196
2017-07-01,0.07310844200075699
2017-07-02,0.027272727272727268
2017-07-03,0.05847714838679537
2017-07-04,0.06678375725027055
2017-07-05,0.052967204981745855
2017-07-06,0.04103544013124347
2017-07-07,0.04149042699125902
2017-07-08,0.22389360032802652
2017-07-09,0.02296504149445327
2017-07-10,0.053762160972656854
2017-07-11,0.03957776758072116
2017-07-12,0.03698939771543499
2017-07-13,0.028104535418676368
2017-07-14,0.050283014283590055
2017-07-15,0.08891051483238985
2017-07-16,0.09320572082138641
2017-07-17,0.047488329472435295
2017-07-18,0.04196738657585853
2017-07-19,0.04085559977351442
2017-07-20,0.047653600557442735
2017-07-21,0.04151050561134194
2017-07-22,0.03731661856661857
2017-07-23,-0.014693856699907698
2017-07-24,0.04374456851757192
2017-07-25,0.04513798643283126
2017-07-26,0.048079888444533835
2017-07-27,0.05216584567486095
2017-07-28,0.04308661099590018
2017-07-29,0.03661152671030545
2017-07-30,0.07819054264448999
2017-07-31,0.04223438889113768
2017-08-01,0.04275773342892296
2017-08-02,0.04447576414095249
2017-08-03,0.034166875486960235
2017-08-04,0.03316722907661923
2017-08-05,0.09218236182564861
2017-08-06,-0.0035186346692028525
2017-08-07,0.04030362834694296
2017-08-08,0.021436816199282525
2017-08-09,0.027319830576410888
2017-08-10,0.03401724380779605
2017-08-11,0.02891500753541199
2017-08-12,0.09054432368262155
2017-08-13,-0.023503022401327487
2017-08-14,0.0009173584363609427
2017-08-15,0.033093080526962845
2017-08-16,0.037748412941501414
2017-08-17,0.03903683743831241
2017-08-18,0.05549872609301742
2017-08-19,0.06146365938900661
2017-08-20,0.028078915981977207
2017-08-21,0.0429573028514577
2017-08-22,0.0683285661184045
2017-08-23,0.033360483242578974
2017-08-24,0.03511594357736837
2017-08-25,0.04301500694808668
2017-08-26,-0.03333333333333333
2017-08-27,0.003330716264476895
2017-08-28,0.05938287015668677
2017-08-29,0.05181175109283162
2017-08-30,0.0532511628229347
2017-08-31,0.03295351452922233
2017-09-01,0.027270252824365435
2017-09-02,0.04062322779133236
2017-09-03,0.0686910382701199
2017-09-04,0.08987634224181709
2017-09-05,0.03190916337263655
2017-09-06,0.03844117520061853
2017-09-07,0.0448449243217327
2017-09-08,0.027546765309428425
2017-09-09,0.10171373120124871
2017-09-10,0.03800978815439218
2017-09-11,0.03139193204946945
2017-09-12,0.051973095168596876
2017-09-13,0.03864380371648057
2017-09-14,0.05034299589183554
2017-09-15,0.034848699857779296
2017-09-16,0.05907022893332417
2017-09-17,0.1479324494949495
2017-09-18,0.032673021254679004
2017-09-19,0.03518909002499298
2017-09-20,0.033777957632603675
2017-09-21,0.019018129110203275
2017-09-22,0.034482270045057425
2017-09-23,0.08516320063378886
2017-09-24,-0.02554233063392546
2017-09-25,0.03785310163654915
2017-09-26,0.033855895798187007
2017-09-27,0.029701227521728796
2017-09-28,0.041702473586186596
2017-09-29,0.04050644323487908
2017-09-30,0.06764931927975407
2017-10-01,0.05728304463877199
2017-10-02,0.04064652767428112
2017-10-03,0.04796022942849377
2017-10-04,0.03455379415710604
2017-10-05,0.04251035601585439
2017-10-06,0.05862990795865838
2017-10-07,-0.001546807674572098
2017-10-08,-0.005574620420558799
2017-10-09,0.06631370744777727
2017-10-10,0.036830004334600576
2017-10-11,0.05703195179143717
2017-10-12,0.0488784056501034
2017-10-13,0.033405525583429914
2017-10-14,0.05256163442671381
2017-10-15,0.07820148601398601
2017-10-16,0.03950661510891828
2017-10-17,0.057101864430502185
2017-10-18,0.03492396036011555
2017-10-19,0.05515123626012189
2017-10-20,0.04736116168230342
2017-10-21,0.005699488420076641
2017-10-22,0.11823079118307038
2017-10-23,0.0451641280788158
2017-10-24,0.036680688587201145
2017-10-25,0.0275839502644517
2017-10-26,0.04766439582216602
2017-10-27,0.04469692696305539
2017-10-28,0.05998149299894429
2017-10-29,0.020085769779865523
2017-10-30,0.03816659402422951
2017-10-31,0.04466612734579061
2017-11-01,0.04726521226653981
2017-11-02,0.036106092938760596
